"","t","betahat"
"1",-4,-0.0894286632537842
"2",-3,-0.0893915295600891
"3",-2,-0.068603590130806
"4",0,0.0930802449584007
"5",1,0.187747314572334
"6",2,0.180679962038994
"7",3,0.0972781926393509
"8",-1,0
